,name,company,year,Price,kms_driven,fuel_type
54,Honda Amaze,Honda,2015-01-01,344999,22000.0,Petrol
55,Renault Duster,Renault,2014-01-01,449999,50000.0,Diesel
56,Mini Cooper S,Mini,2013-01-01,1891111,13500.0,Petrol
57,Mahindra Scorpio S4,Mahindra,2015-01-01,865000,30000.0,Diesel
58,Mahindra Scorpio VLX,Mahindra,2014-01-01,699000,50000.0,Diesel
59,Mahindra Quanto C8,Mahindra,2013-01-01,375000,20000.0,Diesel
60,Ford EcoSport,Ford,2017-01-01,489999,39000.0,Petrol
61,Honda Brio,Honda,2012-01-01,224999,30000.0,Petrol
62,Volkswagen Vento Highline,Volkswagen,2019-01-01,1200000,3600.0,Diesel
63,Hyundai i20 Magna,Hyundai,2009-01-01,195000,32000.0,Petrol
64,Toyota Corolla Altis,Toyota,2010-01-01,351000,38000.0,Diesel
65,Hyundai Verna Transform,Hyundai,2008-01-01,160000,45000.0,Petrol
66,Toyota Corolla Altis,Toyota,2009-01-01,240000,35000.0,Petrol
67,Honda City 1.5,Honda,2005-01-01,90000,50000.0,Petrol
68,Skoda Fabia 1.2L,Skoda,2011-01-01,155000,45863.0,Diesel
69,BMW 3 Series,BMW,2011-01-01,600000,60500.0,Petrol
70,Maruti Suzuki A,Maruti,2011-01-01,189500,12500.0,Petrol
71,Toyota Etios GD,Toyota,2013-01-01,350000,60000.0,Diesel
72,Ford Figo Diesel,Ford,2012-01-01,210000,35000.0,Diesel
73,Maruti Suzuki Swift,Maruti,2014-01-01,390000,35000.0,Petrol
74,Chevrolet Beat LT,Chevrolet,2012-01-01,135000,45000.0,Diesel
75,BMW 7 Series,BMW,2009-01-01,1600000,35000.0,Petrol
76,Mahindra XUV500 W8,Mahindra,2013-01-01,701000,38000.0,Diesel
77,Hyundai i10 Magna,Hyundai,2014-01-01,265000,18000.0,Petrol
78,Hyundai Verna Fluidic,Hyundai,2015-01-01,525000,35000.0,Diesel
79,Maruti Suzuki Swift,Maruti,2013-01-01,372000,13349.0,Petrol
80,Maruti Suzuki Ertiga,Maruti,2016-01-01,635000,29000.0,Petrol
81,Ford EcoSport Titanium,Ford,2014-01-01,550000,44000.0,Diesel
82,Maruti Suzuki Ertiga,Maruti,2016-01-01,575000,29000.0,Petrol
83,Maruti Suzuki Ertiga,Maruti,2013-01-01,485000,42000.0,Diesel
84,Maruti Suzuki Alto,Maruti,2012-01-01,155000,14000.0,Petrol
85,Hyundai Grand i10,Hyundai,2014-01-01,345000,49000.0,Diesel
86,Honda Amaze 1.2,Honda,2014-01-01,325000,42000.0,Petrol
87,Hyundai i20 Asta,Hyundai,2012-01-01,329500,36200.0,Diesel
88,Ford Figo Diesel,Ford,2014-01-01,195000,50000.0,Diesel
89,Maruti Suzuki Eeco,Maruti,2015-01-01,251111,55000.0,Petrol
90,Maruti Suzuki Ertiga,Maruti,2014-01-01,569999,45000.0,Petrol
91,Maruti Suzuki Esteem,Maruti,2007-01-01,69999,51000.0,Petrol
92,Maruti Suzuki Ritz,Maruti,2014-01-01,299999,19000.0,Petrol
93,Maruti Suzuki Dzire,Maruti,2009-01-01,220000,46000.0,Petrol
94,Maruti Suzuki Ritz,Maruti,2013-01-01,399999,33000.0,Diesel
95,Maruti Suzuki Dzire,Maruti,2015-01-01,450000,104000.0,Diesel
96,Toyota Etios Liva,Toyota,2014-01-01,270000,55000.0,Petrol
97,Hyundai i20 Sportz,Hyundai,2011-01-01,350000,33333.0,Diesel
98,Chevrolet Spark,Chevrolet,2012-01-01,158400,33600.0,Petrol
99,Maruti Suzuki Alto,Maruti,2017-01-01,350000,5600.0,Petrol
100,Nissan Micra XV,Nissan,2011-01-01,179000,41000.0,Petrol
101,Maruti Suzuki Swift,Maruti,2007-01-01,125000,70000.0,Petrol
102,Maruti Suzuki Alto,Maruti,2018-01-01,200000,7500.0,Petrol
103,Honda Amaze 1.5,Honda,2013-01-01,299000,45000.0,Diesel
104,Maruti Suzuki Alto,Maruti,2015-01-01,220000,38000.0,Petrol
105,Chevrolet Beat,Chevrolet,2015-01-01,150000,30000.0,Petrol
106,Honda City 1.5,Honda,2010-01-01,285000,35000.0,Petrol
107,Ford EcoSport Trend,Ford,2016-01-01,830000,24330.0,Diesel
108,Hyundai i20 Asta,Hyundai,2009-01-01,210000,65480.0,Petrol
109,Maruti Suzuki Swift,Maruti,2013-01-01,340000,41000.0,Petrol
110,Tata Indica V2,Tata,2006-01-01,90000,20000.0,Petrol
111,Hindustan Motors Ambassador,Hindustan,2000-01-01,70000,200000.0,Diesel
112,Toyota Corolla Altis,Toyota,2010-01-01,289999,70000.0,Petrol
113,Toyota Corolla Altis,Toyota,2012-01-01,349999,59000.0,Petrol
114,Toyota Innova 2.5,Toyota,2012-01-01,849999,99000.0,Diesel
115,Volkswagen Jetta Highline,Volkswagen,2014-01-01,749999,46000.0,Diesel
116,Volkswagen Polo Comfortline,Volkswagen,2015-01-01,399999,2800.0,Petrol
117,Volkswagen Polo,Volkswagen,2014-01-01,274999,32000.0,Petrol
118,Mahindra Scorpio,Mahindra,2015-01-01,984999,22000.0,Diesel
119,Nissan Sunny,Nissan,2012-01-01,224999,45000.0,Petrol
120,Hyundai Elite i20,Hyundai,2018-01-01,599999,21000.0,Petrol
121,Renault Kwid,Renault,2016-01-01,244999,11000.0,Petrol
122,Renault Duster,Renault,2013-01-01,399999,41000.0,Diesel
123,Renault Duster,Renault,2014-01-01,474999,50000.0,Diesel
124,Mahindra Scorpio VLX,Mahindra,2011-01-01,499999,66000.0,Diesel
125,Maruti Suzuki Alto,Maruti,2018-01-01,310000,3000.0,Petrol
126,Chevrolet Spark LT,Chevrolet,2010-01-01,85000,45000.0,Petrol
127,Datsun Redi GO,Datsun,2016-01-01,245000,7000.0,Petrol
128,Maruti Suzuki Swift,Maruti,2010-01-01,189500,38500.0,Diesel
129,Fiat Punto Emotion,Fiat,2012-01-01,169500,37200.0,Diesel
130,Maruti Suzuki Swift,Maruti,2010-01-01,159500,43200.0,Diesel
131,Toyota Etios GD,Toyota,2013-01-01,275000,24800.0,Petrol
132,Hyundai i20 Sportz,Hyundai,2014-01-01,370000,60000.0,Diesel
133,Hyundai i10 Sportz,Hyundai,2010-01-01,168000,45872.0,Petrol
134,Chevrolet Beat LT,Chevrolet,2011-01-01,150000,40000.0,Diesel
135,Chevrolet Beat LS,Chevrolet,2011-01-01,145000,45000.0,Diesel
136,Chevrolet Beat LT,Chevrolet,2012-01-01,98500,38000.0,Diesel
137,Tata Indigo CS,Tata,2011-01-01,85000,11400.0,Diesel
138,Toyota Corolla Altis,Toyota,2015-01-01,575000,42000.0,Petrol
139,Honda City 1.5,Honda,2014-01-01,549000,39000.0,Petrol
140,Maruti Suzuki Swift,Maruti,2011-01-01,209000,47000.0,Diesel
141,Hyundai Eon Era,Hyundai,2013-01-01,185000,27000.0,Petrol
142,Mahindra Scorpio S10,Mahindra,2015-01-01,900000,97200.0,Diesel
143,Mahindra XUV500,Mahindra,2014-01-01,699999,52000.0,Diesel
144,Ford Fiesta,Ford,2011-01-01,274999,55000.0,Diesel
145,Honda City,Honda,2015-01-01,599999,30000.0,Diesel
146,Maruti Suzuki Wagon,Maruti,2012-01-01,199999,44000.0,Petrol
147,Honda City,Honda,2014-01-01,544999,45000.0,Diesel
148,Hyundai i20,Hyundai,2009-01-01,199000,31000.0,Petrol
149,Tata Indigo eCS,Tata,2016-01-01,320000,175430.0,Diesel
150,Hyundai Fluidic Verna,Hyundai,2015-01-01,540000,38000.0,Diesel
151,Mahindra Quanto C8,Mahindra,2013-01-01,340000,37000.0,Diesel
152,Fiat Petra ELX,Fiat,2008-01-01,75000,65000.0,Petrol
153,Hyundai Santro Xing,Hyundai,2005-01-01,49000,7500.0,Petrol
154,Maruti Suzuki Ciaz,Maruti,2016-01-01,700000,3350.0,Petrol
155,Maruti Suzuki Zen,Maruti,2000-01-01,55000,60000.0,Petrol
156,Hyundai Creta 1.6,Hyundai,2017-01-01,895000,32000.0,Petrol
157,Mahindra Scorpio SLX,Mahindra,2007-01-01,355000,75000.0,Diesel
158,Mahindra Scorpio SLE,Mahindra,2012-01-01,565000,62000.0,Diesel
159,Toyota Innova 2.5,Toyota,2006-01-01,365000,73000.0,Diesel
160,Maruti Suzuki Alto,Maruti,2011-01-01,145000,41000.0,Petrol
161,Maruti Suzuki Wagon,Maruti,2011-01-01,210000,35000.0,Petrol
162,Tata Nano Cx,Tata,2013-01-01,40000,2200.0,Petrol
163,Maruti Suzuki Alto,Maruti,2013-01-01,125000,39000.0,Petrol
164,Maruti Suzuki Wagon,Maruti,2009-01-01,135000,45000.0,Petrol
165,Maruti Suzuki Swift,Maruti,2006-01-01,135000,45000.0,Petrol
166,Tata Sumo Victa,Tata,2012-01-01,285000,65000.0,Diesel
167,Maruti Suzuki Wagon,Maruti,2010-01-01,145000,54870.0,Petrol
168,Maruti Suzuki Alto,Maruti,2010-01-01,135000,34580.0,Petrol
169,Volkswagen Passat Diesel,Volkswagen,2009-01-01,450000,97000.0,Diesel
170,Renault Scala RxL,Renault,2015-01-01,375000,25000.0,Diesel
171,Hyundai Grand i10,Hyundai,2014-01-01,365000,20000.0,Petrol
172,Hyundai i20 Active,Hyundai,2015-01-01,500000,18000.0,Petrol
173,Mahindra Xylo E4,Mahindra,2012-01-01,400000,35000.0,Diesel
174,Mahindra Jeep MM,Mahindra,2019-01-01,390000,60.0,Diesel
175,Mahindra Bolero SLE,Mahindra,2013-01-01,330000,80200.0,Diesel
176,Force Motors Force,Force,2015-01-01,580000,3200.0,Diesel
177,Maruti Suzuki SX4,Maruti,2012-01-01,265000,46000.0,Diesel
178,Mahindra Jeep CL550,Mahindra,2019-01-01,379000,0.0,Diesel
179,Maruti Suzuki Alto,Maruti,2015-01-01,219000,5000.0,Petrol
180,Mahindra Jeep CL550,Mahindra,2018-01-01,385000,588.0,Diesel
181,Toyota Etios,Toyota,2011-01-01,275000,36000.0,Diesel
182,Volkswagen Polo,Volkswagen,2015-01-01,330000,38000.0,Diesel
183,Honda City ZX,Honda,2008-01-01,110000,45000.0,Petrol
184,Maruti Suzuki Wagon,Maruti,2006-01-01,80000,71200.0,Petrol
185,Honda City VX,Honda,2016-01-01,519000,52000.0,Diesel
186,Mahindra Thar CRDe,Mahindra,2016-01-01,730000,29000.0,Diesel
187,Audi A4 1.8,Audi,2009-01-01,699000,47000.0,Petrol
188,Mercedes Benz GLA,Mercedes,2015-01-01,2000000,20000.0,Diesel
189,Land Rover Freelander,Land,2015-01-01,2100000,30000.0,Diesel
190,Renault Kwid RXT,Renault,2017-01-01,340000,5000.0,Petrol
191,Tata Aria Pleasure,Tata,2014-01-01,390000,35000.0,Diesel
192,Mercedes Benz B,Mercedes,2014-01-01,1400000,31000.0,Petrol
193,Datsun GO T,Datsun,2016-01-01,245000,7000.0,Petrol
194,Tata Indigo eCS,Tata,2016-01-01,320000,175400.0,Diesel
195,Honda Jazz VX,Honda,2016-01-01,450000,41000.0,Petrol
196,Honda Amaze 1.2,Honda,2014-01-01,311000,33000.0,Petrol
197,Honda City,Honda,2012-01-01,399999,45000.0,Petrol
198,Honda City,Honda,2015-01-01,599999,39000.0,Diesel
199,Mahindra Scorpio S4,Mahindra,2015-01-01,855000,30000.0,Diesel
200,Hyundai i20 Active,Hyundai,2015-01-01,535000,37000.0,Diesel
201,Mini Cooper S,Mini,2013-01-01,1891111,13000.0,Petrol
202,Maruti Suzuki Ciaz,Maruti,2017-01-01,699000,14000.0,Petrol
203,Chevrolet Tavera Neo,Chevrolet,2013-01-01,375000,55000.0,Diesel
204,Hyundai Eon Sportz,Hyundai,2012-01-01,178000,30000.0,Petrol
205,Tata Sumo Gold,Tata,2013-01-01,300000,50000.0,Diesel
206,Maruti Suzuki Wagon,Maruti,2003-01-01,90000,45000.0,Petrol
207,Maruti Suzuki Esteem,Maruti,2006-01-01,95000,45000.0,Petrol
208,Maruti Suzuki Eeco,Maruti,2015-01-01,255000,9300.0,Petrol
209,Chevrolet Enjoy 1.4,Chevrolet,2013-01-01,245000,55000.0,Diesel
210,Maruti Suzuki Wagon,Maruti,2015-01-01,289999,22000.0,Petrol
211,Nissan Terrano XL,Nissan,2015-01-01,499999,60000.0,Diesel
212,Renault Duster 85,Renault,2014-01-01,489999,59000.0,Diesel
213,Renault Duster 85,Renault,2015-01-01,549999,19000.0,Diesel
214,Maruti Suzuki Dzire,Maruti,2013-01-01,380000,30000.0,Petrol
215,Renault Kwid RXT,Renault,2018-01-01,325000,15000.0,Petrol
216,Maruti Suzuki Maruti,Maruti,2003-01-01,57000,56758.0,Petrol
217,Renault Kwid 1.0,Renault,2018-01-01,349999,10000.0,Petrol
218,Renault Scala RxL,Renault,2014-01-01,349999,49000.0,Diesel
219,Hyundai Grand i10,Hyundai,2014-01-01,410000,41000.0,Petrol
220,Maruti Suzuki Swift,Maruti,2011-01-01,225000,45000.0,Petrol
221,Chevrolet Beat LS,Chevrolet,2010-01-01,120000,43000.0,Petrol
222,Hyundai Santro Xing,Hyundai,2000-01-01,59000,56450.0,Petrol
223,Chevrolet Beat LS,Chevrolet,2010-01-01,80000,56000.0,Petrol
224,Chevrolet Beat LS,Chevrolet,2015-01-01,220000,32700.0,Petrol
225,Ford EcoSport Titanium,Ford,2016-01-01,599000,30000.0,Diesel
226,Hyundai Accent GLX,Hyundai,2006-01-01,80000,56000.0,Petrol
227,Mahindra TUV300 T4,Mahindra,2016-01-01,675000,9000.0,Diesel
228,Tata Indica V2,Tata,2008-01-01,150000,11000.0,Petrol
229,Tata Indigo CS,Tata,2009-01-01,72500,46000.0,Diesel
230,Maruti Suzuki Swift,Maruti,2019-01-01,610000,73.0,Petrol
231,Mahindra Scorpio VLX,Mahindra,2004-01-01,230000,160000.0,Diesel
232,Honda Accord,Honda,2009-01-01,175000,58559.0,Petrol
233,Ford EcoSport Titanium,Ford,2014-01-01,520000,57000.0,Diesel
234,Maruti Suzuki Ertiga,Maruti,2015-01-01,524999,50000.0,Diesel
235,Honda Amaze,Honda,2014-01-01,299999,37000.0,Petrol
236,Maruti Suzuki Dzire,Maruti,2012-01-01,299999,40000.0,Petrol
237,Honda City,Honda,2011-01-01,284999,55000.0,Petrol
238,Mahindra Scorpio 2.6,Mahindra,2007-01-01,220000,170000.0,Diesel
239,Maruti Suzuki Dzire,Maruti,2014-01-01,424999,55000.0,Diesel
240,Honda City,Honda,2015-01-01,644999,39000.0,Petrol
241,Honda Mobilio,Honda,2014-01-01,399999,44000.0,Petrol
242,Toyota Corolla Altis,Toyota,2009-01-01,199999,65000.0,Petrol
243,Honda City,Honda,2014-01-01,584999,39000.0,Petrol
244,Skoda Laura,Skoda,2012-01-01,349999,44000.0,Diesel
245,Renault Duster,Renault,2015-01-01,449999,49000.0,Diesel
246,Maruti Suzuki Ertiga,Maruti,2018-01-01,799999,9000.0,Diesel
247,Maruti Suzuki Dzire,Maruti,2015-01-01,444999,45000.0,Diesel
248,Mahindra XUV500,Mahindra,2014-01-01,649999,47000.0,Diesel
249,Hyundai Verna Fluidic,Hyundai,2012-01-01,444999,40000.0,Diesel
250,Maruti Suzuki Vitara,Maruti,2016-01-01,689999,29000.0,Diesel
251,Maruti Suzuki Wagon,Maruti,2016-01-01,344999,15000.0,Petrol
252,Mahindra Scorpio,Mahindra,2015-01-01,944999,45000.0,Diesel
253,Honda Amaze,Honda,2014-01-01,274999,35000.0,Petrol
254,Mahindra XUV500,Mahindra,2013-01-01,689999,80000.0,Diesel
255,Mahindra Scorpio,Mahindra,2013-01-01,574999,68000.0,Diesel
256,Skoda Laura,Skoda,2013-01-01,374999,50000.0,Diesel
257,Volkswagen Polo,Volkswagen,2010-01-01,199999,60000.0,Diesel
258,Hyundai Elite i20,Hyundai,2016-01-01,549999,9000.0,Petrol
259,Tata Manza Aura,Tata,2012-01-01,130000,72000.0,Diesel
260,Chevrolet Sail UVA,Chevrolet,2013-01-01,210000,60000.0,Petrol
261,Hyundai Verna Fluidic,Hyundai,2013-01-01,401000,45000.0,Diesel
262,Audi A4 2.0,Audi,2012-01-01,1350000,40000.0,Diesel
263,Hyundai Elantra SX,Hyundai,2013-01-01,600000,20000.0,Petrol
264,Mahindra Scorpio VLX,Mahindra,2013-01-01,610000,35000.0,Diesel
265,Mahindra KUV100 K8,Mahindra,2016-01-01,400000,20000.0,Diesel
266,Hyundai Grand i10,Hyundai,2017-01-01,524999,6821.0,Petrol
267,Hyundai i20,Hyundai,2014-01-01,449999,23000.0,Petrol
268,Hyundai Eon,Hyundai,2014-01-01,174999,14000.0,Petrol
269,Hyundai i10,Hyundai,2012-01-01,244999,38000.0,Petrol
270,Hyundai i20 Active,Hyundai,2015-01-01,574999,35000.0,Diesel
271,Datsun Redi GO,Datsun,2017-01-01,244999,22000.0,Petrol
272,Toyota Etios Liva,Toyota,2011-01-01,239999,41000.0,Petrol
273,Hyundai Accent,Hyundai,2010-01-01,99999,45000.0,Petrol
274,Hyundai Verna,Hyundai,2014-01-01,489999,44000.0,Diesel
275,Maruti Suzuki Swift,Maruti,2013-01-01,324999,45000.0,Diesel
276,Toyota Fortuner,Toyota,2011-01-01,1074999,52000.0,Diesel
277,Hyundai i10 Sportz,Hyundai,2012-01-01,230000,34000.0,Petrol
278,Mahindra Bolero Power,Mahindra,2018-01-01,699000,1800.0,Diesel
279,Mahindra XUV500,Mahindra,2015-01-01,1000000,15000.0,Diesel
280,Honda City 1.5,Honda,2010-01-01,240000,400000.0,Petrol
281,Chevrolet Spark LT,Chevrolet,2009-01-01,110000,44000.0,Petrol
282,Mahindra XUV500,Mahindra,2016-01-01,1130000,72000.0,Diesel
283,Tata Indigo eCS,Tata,2014-01-01,250000,40000.0,Diesel
284,Skoda Rapid Elegance,Skoda,2013-01-01,340000,48000.0,Diesel
285,Tata Vista Quadrajet,Tata,2011-01-01,120000,90000.0,Diesel
286,Maruti Suzuki Alto,Maruti,2015-01-01,265000,12000.0,Petrol
287,Maruti Suzuki Zen,Maruti,2003-01-01,85000,69900.0,Petrol
288,Hyundai i10 Magna,Hyundai,2011-01-01,175000,45000.0,Petrol
289,Maruti Suzuki Swift,Maruti,2016-01-01,350000,166000.0,Diesel
290,Honda City ZX,Honda,2008-01-01,149000,42000.0,Petrol
291,Mahindra Jeep MM,Mahindra,2006-01-01,425000,122.0,Diesel
292,Chevrolet Beat Diesel,Chevrolet,2017-01-01,150000,62000.0,Diesel
293,Honda City 1.5,Honda,2010-01-01,225000,70000.0,Petrol
294,Hyundai Verna 1.4,Hyundai,2014-01-01,375000,36000.0,Petrol
295,Toyota Innova 2.5,Toyota,2012-01-01,770000,0.0,Diesel
296,Maruti Suzuki Maruti,Maruti,1995-01-01,30000,55000.0,Petrol
297,Maruti Suzuki Swift,Maruti,2014-01-01,335000,55000.0,Diesel
298,Hyundai Elite i20,Hyundai,2015-01-01,450000,20000.0,Diesel
299,Maruti Suzuki Swift,Maruti,2012-01-01,225000,40000.0,Petrol
300,Maruti Suzuki Versa,Maruti,2004-01-01,80000,50000.0,Petrol
301,Tata Indigo LX,Tata,2016-01-01,130000,104000.0,Diesel
302,Volkswagen Vento Konekt,Volkswagen,2011-01-01,245000,65000.0,Diesel
303,Mercedes Benz C,Mercedes,2002-01-01,399000,41000.0,Petrol
304,Maruti Suzuki Ertiga,Maruti,2013-01-01,450000,90000.0,Diesel
305,Honda City,Honda,2000-01-01,65000,80000.0,Petrol
306,Hyundai Santro Xing,Hyundai,2006-01-01,75000,46000.0,Petrol
307,Maruti Suzuki Omni,Maruti,2001-01-01,70000,70000.0,Petrol
308,Hyundai Sonata Transform,Hyundai,2017-01-01,190000,36469.0,Diesel
309,Hyundai Elite i20,Hyundai,2018-01-01,600000,7800.0,Petrol
310,Maruti Suzuki Alto,Maruti,2017-01-01,240000,60000.0,Petrol
311,Maruti Suzuki Alto,Maruti,2011-01-01,155000,32000.0,Petrol
312,Honda Jazz S,Honda,2009-01-01,169999,24695.0,Petrol
313,Hyundai Grand i10,Hyundai,2017-01-01,450000,15141.0,Petrol
314,Maruti Suzuki Zen,Maruti,2001-01-01,40000,40000.0,Petrol
315,Mahindra Scorpio W,Mahindra,2012-01-01,165000,65000.0,Diesel
316,Maruti Suzuki Alto,Maruti,2014-01-01,270000,22000.0,Petrol
317,Hyundai Grand i10,Hyundai,2016-01-01,280000,59910.0,Diesel
318,Mahindra XUV500 W8,Mahindra,2012-01-01,560000,100000.0,Diesel
319,Hyundai Creta 1.6,Hyundai,2016-01-01,950000,25000.0,Petrol
320,Hyundai i20 Magna,Hyundai,2013-01-01,310000,35000.0,Petrol
321,Renault Duster 85,Renault,2015-01-01,715000,65000.0,Diesel
322,Hyundai Grand i10,Hyundai,2014-01-01,340000,35000.0,Petrol
323,Honda Brio V,Honda,2012-01-01,235000,33000.0,Petrol
324,Mahindra TUV300 T4,Mahindra,2017-01-01,610000,68000.0,Diesel
325,Chevrolet Spark LS,Chevrolet,2010-01-01,95000,23000.0,Petrol
326,Mahindra TUV300 T8,Mahindra,2018-01-01,1000000,4500.0,Diesel
327,Maruti Suzuki Swift,Maruti,2015-01-01,220000,129000.0,Diesel
328,Nissan X Trail,Nissan,2019-01-01,1200000,300.0,Diesel
329,Maruti Suzuki Alto,Maruti,2015-01-01,230000,5000.0,Petrol
330,Ford Ikon 1.3,Ford,2001-01-01,45000,65000.0,Petrol
331,Toyota Fortuner 3.0,Toyota,2010-01-01,940000,131000.0,Diesel
332,Tata Manza ELAN,Tata,2010-01-01,155555,111111.0,Petrol
333,Mercedes Benz A,Mercedes,2013-01-01,1500000,14000.0,Petrol
334,Chevrolet Beat LS,Chevrolet,2016-01-01,210000,22000.0,Diesel
335,Ford EcoSport Trend,Ford,2013-01-01,495000,38000.0,Diesel
336,Tata Indigo LS,Tata,2016-01-01,125000,70000.0,Diesel
337,Hyundai i20 Magna,Hyundai,2010-01-01,195000,36000.0,Petrol
338,Volkswagen Vento Highline,Volkswagen,2015-01-01,550000,34000.0,Diesel
339,Renault Kwid RXT,Renault,2015-01-01,270000,43000.0,Petrol
340,Ford EcoSport Titanium,Ford,2014-01-01,500000,40000.0,Diesel
341,Honda Amaze 1.5,Honda,2016-01-01,240000,160000.0,Diesel
342,Hyundai Verna 1.6,Hyundai,2017-01-01,800000,12000.0,Petrol
343,BMW 5 Series,BMW,2011-01-01,1299000,49000.0,Diesel
344,Skoda Superb 1.8,Skoda,2011-01-01,530000,68000.0,Petrol
345,Audi Q3 2.0,Audi,2013-01-01,1499000,37000.0,Diesel
346,Mahindra Bolero DI,Mahindra,2012-01-01,220000,59466.0,Diesel
347,Ford Figo Duratorq,Ford,2012-01-01,250000,99000.0,Diesel
348,Maruti Suzuki Wagon,Maruti,2018-01-01,395000,25500.0,Petrol
349,Mahindra Logan Diesel,Mahindra,2009-01-01,130000,66000.0,Petrol
350,Tata Nano GenX,Tata,2010-01-01,32000,44005.0,Petrol
351,Mahindra TUV300 T4,Mahindra,2016-01-01,540000,35000.0,Diesel
352,Hyundai Elite i20,Hyundai,2015-01-01,405000,28000.0,Petrol
353,Hyundai Elite i20,Hyundai,2015-01-01,400000,30000.0,Petrol
354,Honda City SV,Honda,2017-01-01,760000,4000.0,Petrol
355,Maruti Suzuki Baleno,Maruti,2016-01-01,500000,28000.0,Petrol
356,Ford Figo Petrol,Ford,2011-01-01,175000,75000.0,Petrol
357,Honda City,Honda,2017-01-01,750000,3000.0,Petrol
358,Hyundai Elite i20,Hyundai,2015-01-01,419000,20000.0,Petrol
359,Maruti Suzuki Versa,Maruti,2004-01-01,90000,50000.0,Petrol
